nbin,nData,TotalBkg,t#bar{t}+x,WWss,W+jets/#gamma,VV,DY,Single t,Z#gamma,VVV,multi-top,QCD,Higgs,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0,0.546 ± 0.256,0.124 ± 0.078,0.006 ± 0.004,0.223 ± 0.199,0.030 ± 0.028,0.000 ± 0.000,0.000 ± 0.000,0.002 ± 0.002,0.017 ± 0.010,0.006 ± 0.005,0.138 ± 0.138,0.000 ± 0.000,0.000,0.028,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.000,0.000,0.000,0.000
5,13,13.555 ± 1.159,5.912 ± 0.539,1.046 ± 0.062,2.964 ± 0.529,1.134 ± 0.120,1.049 ± 0.858,0.374 ± 0.095,0.480 ± 0.087,0.382 ± 0.046,0.214 ± 0.024,0.000 ± 0.000,0.001 ± 0.000,1.471,0.330,0.058,0.005,0.000,0.000,0.000,6.899,0.847,0.214,0.028,0.006,0.000,0.000
6,18,18.774 ± 0.908,5.942 ± 0.544,4.025 ± 0.124,4.320 ± 0.400,1.623 ± 0.156,0.746 ± 0.536,0.738 ± 0.168,0.622 ± 0.099,0.524 ± 0.054,0.228 ± 0.023,0.000 ± 0.000,0.006 ± 0.004,9.788,0.524,0.143,0.034,0.001,0.000,0.000,9.582,0.928,0.596,0.131,0.029,0.001,1.393
7,19,19.438 ± 1.347,3.029 ± 0.375,6.808 ± 0.162,4.071 ± 0.391,1.660 ± 0.164,1.044 ± 1.044,1.235 ± 0.523,0.424 ± 0.058,0.588 ± 0.055,0.228 ± 0.022,0.350 ± 0.314,0.001 ± 0.001,0.000,0.336,0.338,0.094,0.020,0.005,56.779,1.179,0.555,0.701,0.469,0.067,0.029,371.478
Total,52.314,52.314 ± 2.012,15.006 ± 0.856,11.885 ± 0.213,11.578 ± 0.795,4.447 ± 0.257,2.839 ± 1.454,2.348 ± 0.558,1.528 ± 0.144,1.512 ± 0.091,0.676 ± 0.040,0.487 ± 0.343,0.008 ± 0.004,11.259,1.218,0.538,0.133,0.021,0.005,56.779,17.660,2.331,1.519,0.627,0.102,0.029,372.870
