nbin,nData,TotalBkg,VV,t#bar{t}+x,W+jets/#gamma,DY,WWss,multi-top,VVV,Single t,Z#gamma,Higgs,QCD,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,27,27.320 ± 1.713,6.615 ± 0.409,7.981 ± 0.526,5.827 ± 0.842,2.214 ± 1.282,2.059 ± 0.127,0.934 ± 0.061,1.060 ± 0.236,0.236 ± 0.236,0.202 ± 0.093,0.193 ± 0.018,0.000 ± 0.000,0.000,0.651,0.037,0.000,0.000,0.000,0.000,8.938,1.161,0.205,0.000,0.002,0.000,0.000
5,1193,1193.852 ± 28.771,283.355 ± 2.694,349.836 ± 3.556,194.157 ± 4.989,181.482 ± 26.964,65.785 ± 0.737,33.940 ± 0.369,23.185 ± 1.073,30.405 ± 2.583,17.184 ± 1.106,6.330 ± 0.107,8.193 ± 6.796,451.833,37.688,7.606,0.870,0.033,0.002,12.789,504.941,61.706,12.904,1.701,0.280,0.003,0.000
6,1207,1207.549 ± 23.808,328.810 ± 2.929,314.484 ± 3.334,225.653 ± 5.402,145.329 ± 22.564,81.529 ± 0.826,35.392 ± 0.375,26.944 ± 1.149,25.781 ± 2.332,17.590 ± 1.091,5.598 ± 0.101,0.439 ± 0.240,497.041,37.695,18.160,4.255,0.189,0.012,52.557,518.797,58.078,29.470,6.527,1.102,0.017,98.490
7,817,817.607 ± 28.866,225.759 ± 2.471,133.910 ± 2.098,154.058 ± 4.430,143.033 ± 28.216,79.247 ± 0.821,21.932 ± 0.307,27.109 ± 1.155,18.195 ± 2.019,11.580 ± 0.892,2.604 ± 0.069,0.180 ± 0.096,110.531,24.712,23.501,13.190,2.912,0.661,8378.467,248.536,36.083,37.498,21.307,3.712,1.285,17297.236
Total,3246.329,3246.329 ± 47.231,844.540 ± 4.702,806.210 ± 5.333,579.694 ± 8.626,472.058 ± 45.099,228.619 ± 1.383,92.199 ± 0.612,78.298 ± 1.965,74.617 ± 4.030,46.557 ± 1.793,14.724 ± 0.163,8.813 ± 6.801,1059.405,100.746,49.304,18.315,3.134,0.675,8443.812,1281.212,157.028,80.077,29.536,5.096,1.306,17395.726
