nbin,nData,TotalBkg,DY,W+jets/#gamma,VV,t#bar{t}+x,Z#gamma,WWss,multi-top,VVV,Single t,Higgs,QCD,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,2,2.778 ± 1.019,1.401 ± 0.991,0.506 ± 0.192,0.285 ± 0.054,0.370 ± 0.104,0.097 ± 0.069,0.033 ± 0.015,0.036 ± 0.012,0.047 ± 0.040,0.000 ± 0.000,0.004 ± 0.003,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.226,0.000,0.000,0.000,0.000,0.000
5,86,86.210 ± 5.262,35.892 ± 5.050,14.823 ± 1.030,12.389 ± 0.500,16.223 ± 0.754,2.186 ± 0.312,1.889 ± 0.114,1.309 ± 0.074,0.653 ± 0.192,0.644 ± 0.403,0.203 ± 0.021,0.000 ± 0.000,10.125,0.112,0.000,0.000,0.000,0.000,0.000,12.379,5.243,1.019,0.151,0.030,0.001,0.000
6,86,86.563 ± 5.339,31.354 ± 5.104,17.305 ± 1.118,15.145 ± 0.579,14.151 ± 0.697,3.043 ± 0.371,2.192 ± 0.125,1.355 ± 0.072,0.916 ± 0.216,0.896 ± 0.415,0.206 ± 0.021,0.000 ± 0.000,17.357,0.000,0.000,0.012,0.000,0.001,0.000,48.343,5.718,2.466,0.539,0.088,0.000,0.000
7,68,68.301 ± 5.238,30.906 ± 5.061,12.714 ± 0.955,11.060 ± 0.511,6.416 ± 0.465,1.984 ± 0.296,2.336 ± 0.130,0.774 ± 0.049,1.137 ± 0.248,0.890 ± 0.514,0.083 ± 0.013,0.000 ± 0.000,0.000,0.059,0.000,0.035,0.006,0.001,10.509,3.902,3.381,3.398,2.076,0.366,0.124,1928.863
Total,243.853,243.853 ± 9.202,99.554 ± 8.840,45.348 ± 1.805,38.878 ± 0.922,37.161 ± 1.132,7.310 ± 0.572,6.450 ± 0.214,3.474 ± 0.115,2.752 ± 0.383,2.429 ± 0.774,0.496 ± 0.033,0.000 ± 0.000,27.483,0.172,0.000,0.047,0.006,0.001,10.509,64.624,14.568,6.883,2.766,0.484,0.125,1928.863
