nbin,nData,TotalBkg,t#bar{t}+x,VV,WWss,VVV,multi-top,Single t,W+jets/#gamma,DY,Higgs,Z#gamma,QCD,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,4,4.142 ± 0.322,1.827 ± 0.248,1.065 ± 0.153,0.684 ± 0.066,0.295 ± 0.114,0.180 ± 0.024,0.004 ± 0.004,0.000 ± 0.000,0.000 ± 0.000,0.057 ± 0.010,0.030 ± 0.030,0.000 ± 0.000,0.000,0.262,0.037,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,213,213.106 ± 3.145,91.813 ± 1.866,57.244 ± 1.104,27.688 ± 0.436,8.878 ± 0.592,8.668 ± 0.171,10.614 ± 1.460,3.533 ± 0.660,1.993 ± 1.417,1.986 ± 0.060,0.453 ± 0.138,0.237 ± 0.167,160.774,21.101,4.461,0.552,0.024,0.001,18.001,106.713,2.063,0.087,0.072,0.012,0.000,0.000
6,230,230.791 ± 3.723,83.938 ± 1.773,68.408 ± 1.196,42.655 ± 0.518,9.637 ± 0.586,9.612 ± 0.166,6.698 ± 0.993,3.374 ± 0.638,4.474 ± 2.692,1.705 ± 0.055,0.289 ± 0.072,0.000 ± 0.000,256.854,23.042,11.375,2.692,0.101,0.004,34.063,115.488,1.566,0.786,0.143,0.034,0.003,6.549
7,160,160.046 ± 2.139,34.773 ± 1.102,45.962 ± 0.972,51.294 ± 0.547,10.453 ± 0.603,6.511 ± 0.121,6.437 ± 1.165,3.427 ± 0.602,0.000 ± 0.000,0.719 ± 0.036,0.442 ± 0.117,0.028 ± 0.015,88.327,15.607,13.900,8.578,1.749,0.387,4752.630,75.534,0.261,1.271,0.457,0.105,0.038,473.525
Total,608.084,608.084 ± 5.332,212.351 ± 2.811,172.680 ± 1.902,122.321 ± 0.873,29.263 ± 1.035,24.972 ± 0.268,23.753 ± 2.116,10.334 ± 1.098,6.466 ± 3.042,4.467 ± 0.090,1.214 ± 0.197,0.264 ± 0.167,505.955,60.012,29.773,11.822,1.874,0.392,4804.693,297.734,3.890,2.144,0.672,0.150,0.041,480.073
