nbin,nData,TotalBkg,DY,t#bar{t}+x,W+jets/#gamma,Z#gamma,VV,WWss,Single t,VVV,multi-top,Higgs,QCD,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,2,2.439 ± 0.839,1.326 ± 0.815,0.369 ± 0.135,0.204 ± 0.115,0.389 ± 0.089,0.054 ± 0.016,0.066 ± 0.015,0.000 ± 0.000,0.026 ± 0.008,0.006 ± 0.002,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.039,0.000,0.000,0.000,0.000,0.000
5,55,55.279 ± 3.051,18.366 ± 2.788,13.306 ± 0.741,8.456 ± 0.856,7.970 ± 0.434,3.261 ± 0.188,2.153 ± 0.087,0.811 ± 0.148,0.583 ± 0.046,0.359 ± 0.019,0.015 ± 0.006,0.000 ± 0.000,0.000,0.038,0.000,0.000,0.000,0.000,0.000,11.947,4.005,1.220,0.140,0.017,0.000,0.000
6,69,69.154 ± 3.300,20.582 ± 3.027,17.220 ± 0.861,12.756 ± 0.829,7.981 ± 0.433,4.821 ± 0.237,2.835 ± 0.100,1.409 ± 0.193,1.010 ± 0.063,0.526 ± 0.022,0.014 ± 0.005,0.000 ± 0.000,15.225,0.000,0.000,0.016,0.000,0.000,0.000,19.504,5.039,2.616,0.622,0.088,0.001,0.000
7,62,62.609 ± 3.494,21.646 ± 3.327,9.767 ± 0.628,12.743 ± 0.689,7.404 ± 0.405,4.362 ± 0.227,3.506 ± 0.111,1.430 ± 0.188,1.244 ± 0.067,0.502 ± 0.020,0.005 ± 0.002,0.000 ± 0.000,0.000,0.000,0.026,0.031,0.004,0.002,31.986,7.970,3.627,3.891,1.971,0.417,0.142,1830.434
Total,189.481,189.481 ± 5.755,61.919 ± 5.355,40.661 ± 1.305,34.158 ± 1.381,23.744 ± 0.740,12.498 ± 0.378,8.560 ± 0.174,3.651 ± 0.308,2.863 ± 0.103,1.392 ± 0.036,0.034 ± 0.008,0.000 ± 0.000,15.225,0.038,0.026,0.047,0.004,0.002,31.986,39.421,12.710,7.727,2.734,0.523,0.143,1830.434
