nbin,nData,TotalBkg,VV,t#bar{t}+x,W+jets/#gamma,WWss,multi-top,VVV,Single t,Z#gamma,Higgs,QCD,DY,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,2,2.254 ± 0.405,0.464 ± 0.138,0.702 ± 0.152,0.580 ± 0.336,0.255 ± 0.049,0.128 ± 0.023,0.103 ± 0.073,0.000 ± 0.000,0.000 ± 0.000,0.022 ± 0.006,0.000 ± 0.000,0.000 ± 0.000,0.000,0.081,0.000,0.000,0.000,0.000,0.000,0.000,0.161,0.000,0.000,0.000,0.000,0.000
5,83,83.149 ± 2.251,25.257 ± 0.911,28.449 ± 1.021,14.815 ± 1.629,7.005 ± 0.264,2.935 ± 0.101,1.803 ± 0.296,1.398 ± 0.535,0.877 ± 0.293,0.611 ± 0.032,0.000 ± 0.000,0.000 ± 0.000,25.081,5.807,1.390,0.248,0.011,0.000,0.000,61.175,3.353,0.458,0.016,0.017,0.000,0.000
6,90,90.086 ± 2.375,30.016 ± 1.014,25.134 ± 0.947,17.872 ± 1.782,8.701 ± 0.298,2.956 ± 0.098,2.978 ± 0.381,0.983 ± 0.450,0.912 ± 0.304,0.532 ± 0.030,0.000 ± 0.000,0.000 ± 0.000,37.005,5.277,2.901,0.898,0.025,0.001,0.000,41.974,3.736,0.959,0.132,0.017,0.002,8.627
7,55,55.499 ± 1.843,20.555 ± 0.843,10.336 ± 0.566,10.244 ± 1.359,8.281 ± 0.292,1.761 ± 0.067,2.525 ± 0.344,1.232 ± 0.529,0.304 ± 0.176,0.261 ± 0.021,0.000 ± 0.000,0.000 ± 0.000,0.000,3.405,4.185,2.193,0.607,0.135,1743.304,28.761,2.990,1.166,0.918,0.121,0.031,399.489
Total,230.988,230.988 ± 3.777,76.292 ± 1.609,64.621 ± 1.511,43.512 ± 2.791,24.243 ± 0.496,7.780 ± 0.157,7.409 ± 0.597,3.613 ± 0.876,2.093 ± 0.458,1.426 ± 0.049,0.000 ± 0.000,0.000 ± 0.000,62.086,14.569,8.476,3.340,0.644,0.135,1743.304,131.911,10.240,2.584,1.066,0.154,0.033,408.116
