nbin,nData,TotalBkg,VV,t#bar{t}+x,W+jets/#gamma,DY,WWss,multi-top,VVV,Single t,Z#gamma,Higgs,QCD,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,7,7.072 ± 0.581,1.905 ± 0.204,2.354 ± 0.286,1.445 ± 0.438,0.000 ± 0.000,0.692 ± 0.068,0.268 ± 0.031,0.351 ± 0.131,0.000 ± 0.000,0.000 ± 0.000,0.057 ± 0.010,0.000 ± 0.000,0.000,0.121,0.000,0.000,0.000,0.000,0.000,0.000,0.333,0.039,0.000,0.000,0.000,0.000
5,339,339.212 ± 12.994,85.671 ± 1.412,101.779 ± 1.879,55.586 ± 2.683,41.997 ± 12.345,20.135 ± 0.377,10.187 ± 0.184,7.086 ± 0.575,9.383 ± 1.402,4.417 ± 0.558,1.793 ± 0.058,1.178 ± 0.964,158.252,12.662,2.077,0.242,0.006,0.001,0.000,191.851,20.492,3.906,0.509,0.089,0.001,0.000
6,347,347.109 ± 11.772,98.635 ± 1.522,93.328 ± 1.782,60.886 ± 2.818,34.575 ± 11.070,25.430 ± 0.428,10.545 ± 0.179,8.692 ± 0.639,7.849 ± 1.258,5.449 ± 0.626,1.609 ± 0.055,0.110 ± 0.103,158.533,11.621,5.069,1.376,0.070,0.004,18.911,129.277,16.702,8.489,1.967,0.304,0.004,46.598
7,233,233.704 ± 11.600,67.225 ± 1.287,40.182 ± 1.128,43.905 ± 2.398,33.168 ± 11.118,23.910 ± 0.416,6.509 ± 0.128,7.875 ± 0.605,6.697 ± 1.206,3.410 ± 0.498,0.779 ± 0.038,0.044 ± 0.023,55.032,7.509,6.786,3.905,0.861,0.188,2501.564,83.948,11.343,11.703,6.738,1.089,0.369,4948.380
Total,927.097,927.097 ± 21.031,253.436 ± 2.451,237.643 ± 2.840,161.821 ± 4.592,109.740 ± 19.964,70.167 ± 0.709,27.510 ± 0.288,24.003 ± 1.060,23.929 ± 2.237,13.276 ± 0.976,4.238 ± 0.089,1.332 ± 0.970,371.817,31.913,13.931,5.523,0.937,0.193,2520.475,405.076,48.869,24.137,9.214,1.482,0.375,4994.978
