nbin,nData,TotalBkg,DY,W+jets/#gamma,t#bar{t}+x,VV,WWss,Z#gamma,Single t,multi-top,VVV,Higgs,QCD,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,14,14.317 ± 1.895,5.060 ± 1.756,2.817 ± 0.581,2.368 ± 0.291,2.317 ± 0.230,0.433 ± 0.053,0.758 ± 0.143,0.005 ± 0.005,0.282 ± 0.033,0.251 ± 0.094,0.028 ± 0.007,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.745,0.085,0.000,0.002,0.000,0.000
5,591,591.471 ± 27.425,221.262 ± 27.035,97.833 ± 3.416,117.677 ± 2.094,88.671 ± 1.525,17.584 ± 0.346,24.002 ± 1.052,7.562 ± 1.147,9.223 ± 0.198,6.478 ± 0.494,1.151 ± 0.046,0.027 ± 0.027,73.189,0.732,0.034,0.000,0.002,0.000,0.000,137.740,42.009,9.806,1.219,0.183,0.002,0.000
6,629,629.315 ± 23.510,195.351 ± 22.945,128.278 ± 3.843,116.376 ± 2.096,104.938 ± 1.670,27.286 ± 0.414,25.239 ± 1.039,11.029 ± 1.276,10.238 ± 0.208,8.432 ± 0.541,1.101 ± 0.045,1.047 ± 1.039,125.784,0.257,0.148,0.108,0.006,0.002,10.414,210.507,42.720,21.390,4.844,0.735,0.007,15.589
7,518,518.505 ± 28.935,198.810 ± 28.639,96.237 ± 3.124,58.807 ± 1.502,79.874 ± 1.467,37.882 ± 0.472,21.563 ± 0.925,8.465 ± 1.192,6.999 ± 0.189,9.241 ± 0.558,0.522 ± 0.031,0.104 ± 0.059,6.224,0.379,0.260,0.251,0.042,0.016,196.130,48.210,28.847,31.011,16.584,3.223,1.083,14633.775
Total,1753.608,1753.608 ± 46.321,620.482 ± 45.614,325.166 ± 6.044,295.228 ± 3.334,275.801 ± 2.705,83.185 ± 0.719,71.562 ± 1.750,27.062 ± 2.089,26.741 ± 0.345,24.402 ± 0.925,2.802 ± 0.071,1.177 ± 1.041,205.197,1.367,0.442,0.358,0.051,0.017,206.543,396.457,114.322,62.291,22.648,4.143,1.092,14649.363
