nbin,nData,TotalBkg,VV,t#bar{t}+x,W+jets/#gamma,DY,WWss,multi-top,VVV,Single t,Z#gamma,QCD,Higgs,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,9,9.838 ± 0.794,2.852 ± 0.307,3.280 ± 0.336,1.845 ± 0.586,0.000 ± 0.000,0.819 ± 0.089,0.407 ± 0.040,0.314 ± 0.121,0.236 ± 0.236,0.000 ± 0.000,0.000 ± 0.000,0.086 ± 0.012,0.000,0.259,0.000,0.000,0.000,0.000,0.000,0.000,0.476,0.099,0.000,0.002,0.000,0.000
5,494,494.791 ± 24.589,119.107 ± 1.982,141.084 ± 2.295,72.833 ± 3.640,82.264 ± 23.086,28.158 ± 0.533,13.860 ± 0.225,9.452 ± 0.673,11.693 ± 1.576,6.708 ± 0.821,6.992 ± 6.728,2.640 ± 0.067,180.412,14.810,3.421,0.423,0.021,0.000,8.848,191.891,24.314,5.372,0.680,0.109,0.001,0.000
6,489,489.918 ± 19.290,137.410 ± 2.150,128.187 ± 2.153,88.619 ± 4.011,58.093 ± 18.522,34.078 ± 0.591,14.530 ± 0.222,11.389 ± 0.743,10.030 ± 1.488,5.181 ± 0.728,0.136 ± 0.136,2.266 ± 0.062,243.725,16.181,7.515,2.004,0.067,0.002,16.742,199.350,24.652,12.135,2.571,0.478,0.010,27.038
7,324,324.234 ± 25.143,94.888 ± 1.812,54.055 ± 1.326,55.370 ± 3.184,55.769 ± 24.790,34.356 ± 0.598,8.865 ± 0.158,11.071 ± 0.730,5.176 ± 1.086,3.593 ± 0.609,0.022 ± 0.018,1.068 ± 0.043,26.542,10.324,10.648,5.303,1.286,0.283,3489.717,71.864,14.387,15.016,8.335,1.527,0.541,6955.880
Total,1318.781,1318.781 ± 40.119,354.257 ± 3.454,326.605 ± 3.431,218.667 ± 6.310,196.127 ± 38.608,97.410 ± 0.999,37.662 ± 0.356,32.225 ± 1.246,27.135 ± 2.435,15.481 ± 1.255,7.150 ± 6.729,6.060 ± 0.101,450.679,41.573,21.584,7.731,1.374,0.285,3515.306,463.104,63.829,32.622,11.587,2.116,0.552,6982.918
