nbin,nData,TotalBkg,t#bar{t}+x,VV,W+jets/#gamma,WWss,multi-top,Single t,VVV,DY,Z#gamma,Higgs,QCD,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,2,2.007 ± 0.297,0.758 ± 0.164,0.618 ± 0.129,0.279 ± 0.199,0.210 ± 0.038,0.063 ± 0.015,0.000 ± 0.000,0.058 ± 0.058,0.000 ± 0.000,0.000 ± 0.000,0.022 ± 0.006,0.000 ± 0.000,0.000,0.061,0.000,0.000,0.000,0.000,0.000,0.000,0.109,0.000,0.000,0.000,0.000,0.000
5,100,100.144 ± 2.367,36.675 ± 1.179,27.183 ± 0.807,22.205 ± 1.701,5.192 ± 0.192,3.248 ± 0.105,2.324 ± 0.672,1.659 ± 0.283,0.000 ± 0.000,1.050 ± 0.271,0.481 ± 0.030,0.128 ± 0.128,101.599,2.700,0.261,0.036,0.002,0.000,0.000,53.285,6.012,1.383,0.240,0.027,0.001,0.000
6,107,107.696 ± 3.726,33.670 ± 1.129,29.915 ± 0.839,23.768 ± 1.766,6.757 ± 0.222,3.319 ± 0.102,3.431 ± 0.859,2.720 ± 0.358,2.792 ± 2.792,0.772 ± 0.233,0.451 ± 0.029,0.102 ± 0.102,38.598,2.792,0.885,0.127,0.008,0.001,7.214,30.027,5.175,2.991,0.808,0.135,0.001,28.111
7,64,64.312 ± 1.920,15.093 ± 0.730,20.436 ± 0.717,15.538 ± 1.422,6.142 ± 0.213,2.087 ± 0.076,1.808 ± 0.645,2.329 ± 0.327,0.000 ± 0.000,0.631 ± 0.211,0.232 ± 0.021,0.016 ± 0.014,0.000,1.310,1.009,0.581,0.083,0.018,249.427,48.874,2.827,3.468,2.144,0.361,0.138,1559.905
Total,274.160,274.160 ± 4.823,86.195 ± 1.795,78.152 ± 1.373,61.789 ± 2.842,18.302 ± 0.364,8.717 ± 0.166,7.564 ± 1.267,6.766 ± 0.564,2.792 ± 2.792,2.453 ± 0.415,1.185 ± 0.047,0.246 ± 0.165,140.197,6.863,2.155,0.745,0.093,0.019,256.641,132.186,14.123,7.843,3.193,0.523,0.140,1588.016
