nbin,nData,TotalBkg,VV,t#bar{t}+x,W+jets/#gamma,DY,WWss,multi-top,Single t,VVV,Z#gamma,Higgs,QCD,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,5,5.971 ± 1.083,1.076 ± 0.150,1.176 ± 0.191,1.578 ± 0.338,1.401 ± 0.991,0.310 ± 0.045,0.131 ± 0.023,0.000 ± 0.000,0.171 ± 0.097,0.097 ± 0.069,0.031 ± 0.008,0.000 ± 0.000,0.000,0.112,0.037,0.000,0.000,0.000,0.000,0.000,0.284,0.037,0.000,0.000,0.000,0.000
5,200,200.264 ± 6.021,42.761 ± 0.868,52.688 ± 1.337,37.685 ± 1.630,39.217 ± 5.411,9.360 ± 0.254,5.264 ± 0.144,5.608 ± 1.164,3.077 ± 0.413,3.542 ± 0.399,1.063 ± 0.047,0.000 ± 0.000,68.084,5.371,1.310,0.089,0.002,0.000,3.941,76.692,8.779,1.801,0.219,0.046,0.001,0.000
6,204,204.246 ± 6.012,50.994 ± 0.964,46.695 ± 1.254,43.171 ± 1.758,33.918 ± 5.417,11.981 ± 0.289,5.382 ± 0.139,3.406 ± 0.852,3.598 ± 0.441,4.141 ± 0.430,0.961 ± 0.045,0.000 ± 0.000,52.617,5.022,3.104,0.490,0.032,0.002,12.360,114.199,9.578,4.927,1.085,0.184,0.002,6.171
7,146,146.139 ± 5.768,35.173 ± 0.828,20.885 ± 0.846,30.554 ± 1.475,33.216 ± 5.323,11.801 ± 0.289,3.317 ± 0.097,3.371 ± 0.941,4.827 ± 0.512,2.477 ± 0.329,0.430 ± 0.030,0.089 ± 0.089,21.202,3.596,3.244,2.052,0.439,0.098,1345.938,67.873,6.321,5.788,3.375,0.601,0.197,3012.977
Total,556.621,556.621 ± 10.336,130.003 ± 1.546,121.444 ± 2.028,112.988 ± 2.835,107.752 ± 9.377,33.452 ± 0.483,14.093 ± 0.223,12.385 ± 1.722,11.673 ± 0.798,10.257 ± 0.676,2.485 ± 0.072,0.089 ± 0.089,141.903,14.101,7.694,2.631,0.473,0.101,1362.239,258.764,24.963,12.554,4.679,0.832,0.200,3019.148
