nbin,nData,TotalBkg,DY,t#bar{t}+x,W+jets/#gamma,Z#gamma,VV,WWss,Single t,VVV,multi-top,QCD,Higgs,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0,0.824 ± 0.546,0.541 ± 0.541,0.060 ± 0.036,0.048 ± 0.048,0.082 ± 0.039,0.046 ± 0.021,0.030 ± 0.006,0.000 ± 0.000,0.010 ± 0.007,0.006 ± 0.003,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.000,0.000,0.000,0.000,0.000
5,18,18.303 ± 1.866,6.709 ± 1.736,4.257 ± 0.432,2.505 ± 0.441,2.662 ± 0.253,0.983 ± 0.102,0.619 ± 0.026,0.287 ± 0.106,0.175 ± 0.023,0.105 ± 0.010,0.000 ± 0.000,0.002 ± 0.001,0.000,0.011,0.000,0.000,0.000,0.000,0.000,3.575,1.198,0.365,0.042,0.005,0.000,0.000
6,24,24.088 ± 2.401,9.128 ± 2.276,5.113 ± 0.465,4.316 ± 0.530,2.331 ± 0.230,1.291 ± 0.118,0.878 ± 0.031,0.553 ± 0.127,0.305 ± 0.034,0.170 ± 0.014,0.000 ± 0.000,0.002 ± 0.001,4.556,0.000,0.000,0.005,0.000,0.000,0.000,5.836,1.508,0.783,0.186,0.026,0.000,0.000
7,18,18.096 ± 1.818,5.713 ± 1.621,2.779 ± 0.381,3.524 ± 0.335,1.978 ± 0.202,1.229 ± 0.117,1.181 ± 0.036,1.106 ± 0.603,0.421 ± 0.041,0.151 ± 0.012,0.011 ± 0.011,0.002 ± 0.002,0.000,0.000,0.008,0.009,0.001,0.001,9.570,2.385,1.085,1.164,0.590,0.125,0.042,547.681
Total,61.311,61.311 ± 3.585,22.091 ± 3.334,12.209 ± 0.742,10.394 ± 0.769,7.054 ± 0.399,3.549 ± 0.196,2.709 ± 0.054,1.947 ± 0.626,0.911 ± 0.058,0.432 ± 0.021,0.011 ± 0.011,0.005 ± 0.002,4.556,0.011,0.008,0.014,0.001,0.001,9.570,11.795,3.803,2.312,0.818,0.156,0.043,547.681
