nbin,nData,TotalBkg,DY,VV,W+jets/#gamma,t#bar{t}+x,WWss,Z#gamma,multi-top,VVV,Single t,Higgs,QCD,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,1,1.582 ± 0.299,0.000 ± 0.000,0.423 ± 0.088,0.513 ± 0.257,0.341 ± 0.101,0.110 ± 0.027,0.000 ± 0.000,0.089 ± 0.018,0.097 ± 0.065,0.000 ± 0.000,0.009 ± 0.004,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.112,0.039,0.000,0.000,0.000,0.000
5,119,119.008 ± 12.150,37.601 ± 11.947,24.285 ± 0.786,22.600 ± 1.712,21.578 ± 0.808,3.904 ± 0.166,2.845 ± 0.451,2.427 ± 0.092,1.684 ± 0.277,1.761 ± 0.605,0.323 ± 0.024,0.000 ± 0.000,7.183,0.296,0.034,0.000,0.002,0.000,0.000,54.626,10.349,2.052,0.198,0.049,0.000,0.000
6,119,119.615 ± 10.722,29.509 ± 10.468,28.091 ± 0.844,26.131 ± 1.843,20.969 ± 0.787,4.827 ± 0.186,4.037 ± 0.541,2.663 ± 0.093,1.839 ± 0.292,1.245 ± 0.497,0.296 ± 0.023,0.008 ± 0.008,24.003,0.221,0.148,0.000,0.004,0.000,5.871,40.900,8.163,4.055,0.887,0.140,0.002,5.993
7,94,94.529 ± 11.298,33.168 ± 11.118,19.942 ± 0.737,19.296 ± 1.602,9.566 ± 0.534,4.889 ± 0.189,2.575 ± 0.436,1.634 ± 0.067,1.770 ± 0.285,1.530 ± 0.579,0.157 ± 0.017,0.001 ± 0.001,6.224,0.235,0.079,0.048,0.014,0.004,18.063,0.000,6.678,6.779,3.844,0.614,0.201,2900.315
Total,334.734,334.734 ± 19.757,100.278 ± 19.389,72.741 ± 1.372,68.540 ± 2.993,52.454 ± 1.252,13.730 ± 0.315,9.457 ± 0.828,6.813 ± 0.148,5.391 ± 0.497,4.536 ± 0.973,0.785 ± 0.038,0.009 ± 0.008,37.410,0.752,0.261,0.048,0.019,0.004,23.934,95.526,25.303,12.925,4.930,0.803,0.202,2906.308
