nbin,nData,TotalBkg,t#bar{t}+x,W+jets/#gamma,WWss,VV,Z#gamma,DY,VVV,Single t,multi-top,QCD,Higgs,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,1,1.129 ± 0.477,0.165 ± 0.063,0.266 ± 0.185,0.076 ± 0.016,0.065 ± 0.022,0.088 ± 0.048,0.431 ± 0.431,0.029 ± 0.011,0.000 ± 0.000,0.010 ± 0.002,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,26,26.925 ± 1.456,10.547 ± 0.614,4.893 ± 0.775,2.761 ± 0.099,2.120 ± 0.135,3.243 ± 0.282,1.293 ± 0.983,0.763 ± 0.056,0.883 ± 0.254,0.377 ± 0.018,0.039 ± 0.039,0.007 ± 0.004,11.338,1.683,0.373,0.067,0.005,0.000,0.000,4.316,0.816,0.135,0.000,0.006,0.000,0.000
6,31,31.745 ± 1.439,11.171 ± 0.628,6.101 ± 0.713,3.480 ± 0.111,3.633 ± 0.190,2.829 ± 0.261,1.280 ± 1.001,1.221 ± 0.070,1.442 ± 0.208,0.580 ± 0.023,0.000 ± 0.000,0.010 ± 0.005,20.360,1.966,1.110,0.334,0.011,0.000,0.000,18.712,1.515,0.425,0.030,0.007,0.001,3.846
7,25,25.575 ± 1.337,6.890 ± 0.506,5.060 ± 0.581,4.343 ± 0.124,3.112 ± 0.176,1.413 ± 0.169,1.686 ± 1.041,1.522 ± 0.080,0.971 ± 0.163,0.574 ± 0.022,0.000 ± 0.000,0.003 ± 0.002,0.000,1.517,1.866,0.977,0.267,0.058,776.963,12.821,1.267,0.495,0.417,0.053,0.014,182.251
Total,85.374,85.374 ± 2.491,28.773 ± 1.015,16.320 ± 1.217,10.659 ± 0.194,8.930 ± 0.293,7.573 ± 0.422,4.691 ± 1.800,3.534 ± 0.121,3.296 ± 0.367,1.541 ± 0.037,0.039 ± 0.039,0.020 ± 0.006,31.698,5.166,3.349,1.378,0.283,0.058,776.963,35.849,3.598,1.055,0.447,0.066,0.015,186.097
