nbin,nData,TotalBkg,WWss,t#bar{t}+x,W+jets/#gamma,VV,VVV,DY,Single t,Z#gamma,multi-top,QCD,Higgs,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0,0.434 ± 0.191,0.009 ± 0.006,0.124 ± 0.080,0.221 ± 0.168,0.028 ± 0.014,0.010 ± 0.004,0.000 ± 0.000,0.004 ± 0.004,0.037 ± 0.037,0.001 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,15,15.383 ± 0.902,1.998 ± 0.090,7.124 ± 0.593,2.870 ± 0.631,1.634 ± 0.141,0.532 ± 0.050,0.000 ± 0.000,0.705 ± 0.160,0.262 ± 0.088,0.257 ± 0.026,0.000 ± 0.000,0.000 ± 0.000,7.564,1.123,0.249,0.045,0.003,0.000,0.000,2.879,0.544,0.090,0.000,0.004,0.000,0.000
6,23,23.422 ± 1.405,7.345 ± 0.175,6.612 ± 0.593,3.494 ± 0.597,2.410 ± 0.178,0.953 ± 0.071,1.078 ± 1.078,0.673 ± 0.150,0.451 ± 0.110,0.371 ± 0.029,0.034 ± 0.034,0.001 ± 0.000,13.583,1.312,0.740,0.223,0.007,0.000,0.000,12.484,1.010,0.283,0.020,0.005,0.000,2.566
7,25,25.635 ± 1.248,12.814 ± 0.229,4.388 ± 0.494,3.148 ± 0.479,2.101 ± 0.172,1.003 ± 0.072,0.988 ± 0.988,0.481 ± 0.121,0.360 ± 0.078,0.349 ± 0.025,0.001 ± 0.001,0.001 ± 0.001,0.000,1.012,1.245,0.652,0.178,0.039,518.350,8.554,0.845,0.331,0.278,0.035,0.009,121.589
Total,64.873,64.873 ± 2.093,22.166 ± 0.302,18.249 ± 0.976,9.733 ± 1.006,6.173 ± 0.285,2.497 ± 0.113,2.066 ± 1.462,1.864 ± 0.251,1.110 ± 0.165,0.977 ± 0.046,0.035 ± 0.034,0.003 ± 0.001,21.148,3.447,2.234,0.920,0.189,0.039,518.350,23.917,2.400,0.704,0.298,0.044,0.010,124.154
