nbin,nData,TotalBkg,t#bar{t}+x,W+jets/#gamma,VV,WWss,Single t,multi-top,VVV,DY,Z#gamma,QCD,Higgs,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,8,8.877 ± 0.691,3.181 ± 0.342,1.667 ± 0.458,1.948 ± 0.223,0.773 ± 0.073,0.243 ± 0.236,0.268 ± 0.032,0.363 ± 0.115,0.000 ± 0.000,0.234 ± 0.078,0.138 ± 0.138,0.061 ± 0.010,0.000,0.437,0.000,0.000,0.000,0.000,0.000,8.938,0.233,0.175,0.000,0.000,0.000,0.000
5,430,430.466 ± 9.292,156.234 ± 2.496,93.365 ± 3.347,94.755 ± 1.550,24.416 ± 0.411,13.050 ± 1.546,11.966 ± 0.214,8.218 ± 0.551,10.362 ± 4.239,9.303 ± 0.602,7.010 ± 6.728,1.787 ± 0.057,211.698,9.145,1.611,0.105,0.002,0.000,3.941,193.364,23.222,5.898,0.833,0.138,0.002,0.000
6,469,469.200 ± 5.873,149.933 ± 2.440,111.575 ± 3.451,111.542 ± 1.678,39.056 ± 0.509,14.922 ± 1.616,13.096 ± 0.230,11.235 ± 0.634,7.076 ± 3.157,8.297 ± 0.555,0.924 ± 0.464,1.543 ± 0.053,194.863,12.002,3.705,0.690,0.033,0.002,7.214,198.865,23.209,14.594,3.334,0.678,0.012,66.569
7,323,323.597 ± 5.851,70.097 ± 1.637,84.144 ± 2.829,75.286 ± 1.391,46.209 ± 0.523,11.578 ± 1.714,8.398 ± 0.178,11.603 ± 0.651,10.108 ± 4.202,4.940 ± 0.432,0.451 ± 0.317,0.783 ± 0.038,12.441,7.052,6.509,2.257,0.430,0.100,1176.467,104.038,12.953,15.974,10.059,1.535,0.610,7932.651
Total,1232.140,1232.140 ± 12.472,379.445 ± 3.870,290.751 ± 5.597,283.532 ± 2.684,110.454 ± 0.841,39.793 ± 2.827,33.728 ± 0.362,31.419 ± 1.069,27.546 ± 6.752,22.775 ± 0.929,8.523 ± 6.752,4.175 ± 0.087,419.001,28.637,11.824,3.052,0.465,0.103,1187.621,505.205,59.617,36.640,14.227,2.351,0.624,7999.220
