nbin,nData,TotalBkg,DY,W+jets/#gamma,VV,t#bar{t}+x,WWss,Z#gamma,multi-top,Single t,VVV,Higgs,QCD,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,1,1.853 ± 0.839,0.813 ± 0.813,0.478 ± 0.182,0.248 ± 0.047,0.134 ± 0.056,0.032 ± 0.012,0.105 ± 0.063,0.040 ± 0.013,0.000 ± 0.000,0.000 ± 0.000,0.003 ± 0.002,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.068,0.000,0.000,0.000,0.000,0.000
5,58,58.135 ± 3.478,15.930 ± 3.198,12.960 ± 0.921,10.121 ± 0.454,12.842 ± 0.621,1.511 ± 0.100,1.531 ± 0.217,1.262 ± 0.103,1.091 ± 0.568,0.737 ± 0.194,0.151 ± 0.017,0.000 ± 0.000,10.549,0.069,0.000,0.000,0.000,0.000,0.000,16.210,4.375,0.706,0.157,0.025,0.000,0.000
6,60,60.883 ± 3.791,16.559 ± 3.547,13.847 ± 0.943,11.810 ± 0.504,11.419 ± 0.573,1.872 ± 0.112,1.939 ± 0.241,1.444 ± 0.122,1.246 ± 0.452,0.615 ± 0.170,0.131 ± 0.015,0.000 ± 0.000,5.788,0.036,0.000,0.009,0.000,0.001,4.543,23.031,3.965,2.149,0.446,0.064,0.001,0.000
7,50,50.694 ± 5.555,20.880 ± 5.445,10.064 ± 0.799,8.233 ± 0.376,5.105 ± 0.387,1.921 ± 0.111,1.486 ± 0.224,1.199 ± 0.144,0.878 ± 0.395,0.868 ± 0.197,0.061 ± 0.011,0.000 ± 0.000,0.000,0.000,0.063,0.023,0.004,0.002,21.578,7.931,2.489,2.812,1.673,0.334,0.113,1526.554
Total,171.564,171.564 ± 7.617,54.182 ± 7.288,37.349 ± 1.552,30.412 ± 0.777,29.499 ± 0.931,5.335 ± 0.187,5.060 ± 0.400,3.945 ± 0.215,3.216 ± 0.826,2.221 ± 0.325,0.347 ± 0.025,0.000 ± 0.000,16.337,0.105,0.063,0.032,0.004,0.002,26.121,47.172,10.898,5.667,2.276,0.423,0.114,1526.554
