nbin,nData,TotalBkg,WWss,t#bar{t}+x,W+jets/#gamma,VV,DY,VVV,Single t,QCD,multi-top,Z#gamma,Higgs,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0,0.182 ± 0.085,0.006 ± 0.005,0.047 ± 0.035,0.048 ± 0.048,0.018 ± 0.011,0.000 ± 0.000,0.001 ± 0.001,0.059 ± 0.059,0.000 ± 0.000,0.003 ± 0.002,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,10,10.937 ± 1.607,1.166 ± 0.067,4.381 ± 0.458,2.049 ± 0.600,0.864 ± 0.102,1.404 ± 1.404,0.350 ± 0.044,0.435 ± 0.146,0.000 ± 0.000,0.145 ± 0.019,0.143 ± 0.060,0.001 ± 0.001,4.018,0.597,0.132,0.024,0.002,0.000,0.000,1.529,0.289,0.048,0.000,0.002,0.000,0.000
6,14,14.466 ± 1.494,3.932 ± 0.122,3.037 ± 0.380,3.007 ± 0.621,1.485 ± 0.151,0.816 ± 0.816,0.534 ± 0.057,0.244 ± 0.069,0.994 ± 0.994,0.245 ± 0.026,0.171 ± 0.051,0.000 ± 0.000,7.216,0.697,0.393,0.118,0.004,0.000,0.000,6.633,0.537,0.150,0.011,0.003,0.000,1.363
7,13,13.617 ± 0.641,6.655 ± 0.159,1.928 ± 0.292,2.604 ± 0.516,1.085 ± 0.125,0.000 ± 0.000,0.533 ± 0.054,0.389 ± 0.110,0.000 ± 0.000,0.228 ± 0.025,0.194 ± 0.057,0.001 ± 0.001,0.000,0.538,0.661,0.346,0.095,0.021,275.356,4.544,0.449,0.176,0.148,0.019,0.005,64.586
Total,39.202,39.202 ± 2.287,11.759 ± 0.211,9.394 ± 0.664,7.707 ± 1.007,3.451 ± 0.221,2.219 ± 1.623,1.418 ± 0.090,1.127 ± 0.204,0.994 ± 0.994,0.621 ± 0.041,0.509 ± 0.097,0.003 ± 0.001,11.234,1.831,1.187,0.489,0.100,0.021,275.356,12.706,1.275,0.374,0.158,0.023,0.005,65.949
