nbin,nData,TotalBkg,t#bar{t}+x,W+jets/#gamma,DY,WWss,Z#gamma,VV,Single t,VVV,multi-top,QCD,Higgs,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,1,1.210 ± 0.550,0.192 ± 0.069,0.048 ± 0.048,0.541 ± 0.541,0.159 ± 0.014,0.124 ± 0.043,0.081 ± 0.025,0.000 ± 0.000,0.054 ± 0.014,0.012 ± 0.004,0.000 ± 0.000,0.000 ± 0.000,0.000,0.035,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.007,0.000,0.000,0.000,0.000
5,44,44.594 ± 2.573,13.759 ± 0.752,6.954 ± 0.779,9.835 ± 2.293,3.542 ± 0.063,4.948 ± 0.345,3.020 ± 0.172,1.031 ± 0.176,0.936 ± 0.061,0.564 ± 0.026,0.000 ± 0.000,0.005 ± 0.002,9.086,1.365,0.305,0.039,0.003,0.000,1.180,11.878,2.212,0.586,0.070,0.012,0.000,0.000
6,50,50.591 ± 2.566,15.056 ± 0.766,10.011 ± 0.793,9.134 ± 2.278,4.461 ± 0.070,3.799 ± 0.282,4.454 ± 0.215,1.352 ± 0.203,1.481 ± 0.077,0.781 ± 0.029,0.055 ± 0.055,0.007 ± 0.003,26.830,1.879,0.837,0.230,0.008,0.000,2.234,20.661,2.800,1.435,0.310,0.055,0.001,2.327
7,41,41.465 ± 2.157,8.912 ± 0.619,9.102 ± 0.614,6.069 ± 1.660,5.579 ± 0.079,2.997 ± 0.245,3.890 ± 0.201,2.403 ± 1.012,1.725 ± 0.084,0.739 ± 0.027,0.043 ± 0.028,0.005 ± 0.004,3.501,1.377,1.428,0.714,0.168,0.037,466.790,9.586,1.934,1.955,1.122,0.202,0.072,932.439
Total,137.860,137.860 ± 4.262,37.918 ± 1.241,26.115 ± 1.271,25.579 ± 3.673,13.742 ± 0.124,11.868 ± 0.510,11.444 ± 0.342,4.786 ± 1.047,4.196 ± 0.131,2.096 ± 0.048,0.098 ± 0.061,0.017 ± 0.005,39.416,4.655,2.569,0.983,0.179,0.038,470.205,42.125,6.958,3.983,1.501,0.269,0.073,934.766
