nbin,nData,TotalBkg,t#bar{t}+x,WWss,W+jets/#gamma,VV,DY,Single t,Z#gamma,VVV,multi-top,QCD,Higgs,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0,0.547 ± 0.256,0.124 ± 0.078,0.006 ± 0.004,0.223 ± 0.199,0.030 ± 0.028,0.000 ± 0.000,0.000 ± 0.000,0.002 ± 0.002,0.017 ± 0.010,0.006 ± 0.005,0.138 ± 0.138,0.000 ± 0.000,0.000,0.028,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.000,0.000,0.000,0.000
5,13,13.566 ± 1.160,5.915 ± 0.540,1.047 ± 0.062,2.967 ± 0.529,1.135 ± 0.120,1.050 ± 0.859,0.374 ± 0.095,0.480 ± 0.088,0.383 ± 0.046,0.214 ± 0.024,0.000 ± 0.000,0.001 ± 0.000,1.471,0.330,0.058,0.005,0.000,0.000,0.000,6.900,0.847,0.214,0.028,0.006,0.000,0.000
6,18,18.802 ± 0.909,5.951 ± 0.545,4.030 ± 0.124,4.327 ± 0.400,1.625 ± 0.156,0.747 ± 0.537,0.740 ± 0.168,0.623 ± 0.099,0.525 ± 0.054,0.229 ± 0.023,0.000 ± 0.000,0.006 ± 0.004,9.790,0.525,0.143,0.034,0.001,0.000,0.000,9.583,0.928,0.596,0.131,0.029,0.001,1.393
7,19,19.470 ± 1.349,3.036 ± 0.376,6.816 ± 0.162,4.080 ± 0.392,1.663 ± 0.164,1.045 ± 1.045,1.237 ± 0.524,0.424 ± 0.058,0.589 ± 0.055,0.228 ± 0.022,0.350 ± 0.314,0.001 ± 0.001,0.000,0.336,0.338,0.094,0.020,0.005,56.784,1.179,0.555,0.701,0.469,0.067,0.029,371.533
Total,52.384,52.384 ± 2.014,15.025 ± 0.857,11.900 ± 0.213,11.598 ± 0.796,4.453 ± 0.258,2.842 ± 1.455,2.351 ± 0.558,1.530 ± 0.144,1.513 ± 0.091,0.677 ± 0.040,0.487 ± 0.343,0.008 ± 0.004,11.261,1.218,0.538,0.133,0.021,0.005,56.784,17.662,2.331,1.519,0.627,0.102,0.029,372.926
