nbin,nData,TotalBkg,t#bar{t}+x,W+jets/#gamma,WWss,VV,Z#gamma,Single t,VVV,DY,multi-top,QCD,Higgs,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0,0.926 ± 0.203,0.338 ± 0.113,0.247 ± 0.153,0.114 ± 0.020,0.048 ± 0.018,0.138 ± 0.065,0.000 ± 0.000,0.028 ± 0.010,0.000 ± 0.000,0.013 ± 0.004,0.000 ± 0.000,0.000 ± 0.000,0.000,0.079,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.024,0.000,0.000,0.000,0.000
5,32,32.262 ± 1.114,13.911 ± 0.774,6.618 ± 0.638,2.901 ± 0.102,2.663 ± 0.157,3.321 ± 0.266,1.057 ± 0.180,1.029 ± 0.066,0.305 ± 0.305,0.450 ± 0.021,0.000 ± 0.000,0.007 ± 0.003,4.152,0.932,0.163,0.015,0.000,0.000,0.000,19.472,2.392,0.605,0.078,0.016,0.000,0.000
6,44,44.372 ± 1.522,17.328 ± 0.861,10.649 ± 0.648,3.833 ± 0.148,4.319 ± 0.205,2.498 ± 0.195,1.965 ± 0.443,1.279 ± 0.073,1.404 ± 0.833,0.669 ± 0.025,0.421 ± 0.397,0.006 ± 0.002,27.628,1.480,0.402,0.095,0.004,0.000,0.000,27.045,2.620,1.682,0.368,0.083,0.002,3.930
7,34,34.308 ± 1.373,10.511 ± 0.689,9.740 ± 0.437,4.265 ± 0.124,3.587 ± 0.188,1.055 ± 0.101,1.431 ± 0.282,1.523 ± 0.079,1.578 ± 1.035,0.605 ± 0.023,0.008 ± 0.006,0.004 ± 0.002,0.000,0.947,0.954,0.264,0.057,0.013,160.251,3.328,1.568,1.978,1.323,0.190,0.081,1048.505
Total,111.868,111.868 ± 2.342,42.088 ± 1.352,27.254 ± 1.020,11.114 ± 0.219,10.617 ± 0.320,7.012 ± 0.351,4.453 ± 0.555,3.859 ± 0.127,3.287 ± 1.363,1.737 ± 0.040,0.429 ± 0.397,0.017 ± 0.004,31.781,3.439,1.519,0.374,0.061,0.013,160.251,49.845,6.579,4.288,1.769,0.289,0.083,1052.435
