nbin,nData,TotalBkg,VV,t#bar{t}+x,W+jets/#gamma,WWss,Single t,multi-top,VVV,DY,Z#gamma,Higgs,QCD,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,1,1.579 ± 0.263,0.417 ± 0.104,0.399 ± 0.119,0.587 ± 0.208,0.139 ± 0.030,0.000 ± 0.000,0.034 ± 0.011,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.004 ± 0.003,0.000 ± 0.000,0.000,0.059,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,33,33.664 ± 1.248,9.235 ± 0.400,9.858 ± 0.560,7.694 ± 0.729,2.099 ± 0.120,1.822 ± 0.671,1.145 ± 0.066,1.118 ± 0.250,0.000 ± 0.000,0.447 ± 0.142,0.246 ± 0.023,0.000 ± 0.000,12.305,1.306,0.652,0.032,0.000,0.000,0.000,24.214,1.646,0.240,0.011,0.002,0.000,0.000
6,33,33.890 ± 1.694,10.630 ± 0.443,8.980 ± 0.530,7.532 ± 0.726,2.853 ± 0.141,0.600 ± 0.391,1.022 ± 0.059,0.525 ± 0.170,1.284 ± 1.284,0.249 ± 0.102,0.216 ± 0.021,0.000 ± 0.000,11.235,1.628,1.091,0.194,0.014,0.000,12.361,19.092,1.105,0.420,0.080,0.017,0.000,0.000
7,23,23.988 ± 1.659,8.109 ± 0.407,3.984 ± 0.366,4.410 ± 0.564,2.778 ± 0.140,1.076 ± 0.545,0.669 ± 0.042,1.189 ± 0.249,1.317 ± 1.317,0.261 ± 0.101,0.106 ± 0.015,0.089 ± 0.089,6.671,1.522,1.549,0.807,0.224,0.044,657.017,15.867,0.927,0.408,0.221,0.049,0.013,156.857
Total,93.122,93.122 ± 2.692,28.391 ± 0.730,23.221 ± 0.862,20.223 ± 1.192,7.869 ± 0.234,3.498 ± 0.948,2.869 ± 0.098,2.832 ± 0.392,2.601 ± 1.840,0.957 ± 0.202,0.572 ± 0.035,0.089 ± 0.089,30.210,4.516,3.292,1.032,0.238,0.044,669.378,59.172,3.678,1.068,0.312,0.067,0.013,156.857
