nbin,nData,TotalBkg,t#bar{t}+x,VV,WWss,Single t,multi-top,VVV,W+jets/#gamma,DY,Higgs,QCD,Z#gamma,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,1,1.209 ± 0.179,0.647 ± 0.149,0.271 ± 0.074,0.189 ± 0.036,0.000 ± 0.000,0.040 ± 0.011,0.052 ± 0.052,0.000 ± 0.000,0.000 ± 0.000,0.009 ± 0.004,0.000 ± 0.000,0.000 ± 0.000,0.000,0.060,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,55,55.034 ± 1.486,24.025 ± 0.904,15.623 ± 0.562,5.982 ± 0.205,3.817 ± 0.920,2.240 ± 0.083,2.141 ± 0.320,0.510 ± 0.255,0.000 ± 0.000,0.595 ± 0.033,0.100 ± 0.100,0.000 ± 0.000,36.539,4.997,1.062,0.175,0.000,0.000,0.000,37.033,0.455,0.035,0.024,0.007,0.000,0.000
6,56,56.125 ± 2.611,18.977 ± 0.773,19.425 ± 0.630,7.629 ± 0.234,2.178 ± 0.626,2.454 ± 0.082,1.906 ± 0.300,0.783 ± 0.320,2.276 ± 2.276,0.498 ± 0.030,0.000 ± 0.000,0.000 ± 0.000,63.854,4.628,2.360,0.699,0.021,0.001,0.000,28.929,0.336,0.330,0.023,0.010,0.000,6.551
7,33,33.603 ± 1.109,6.867 ± 0.422,12.480 ± 0.507,6.907 ± 0.223,2.400 ± 0.704,1.520 ± 0.058,1.906 ± 0.303,1.222 ± 0.388,0.000 ± 0.000,0.224 ± 0.020,0.014 ± 0.013,0.063 ± 0.063,24.784,3.327,2.763,1.743,0.379,0.075,1057.908,22.355,0.164,0.220,0.152,0.019,0.007,114.340
Total,145.971,145.971 ± 3.208,50.517 ± 1.271,47.799 ± 0.988,20.708 ± 0.384,8.395 ± 1.317,6.253 ± 0.131,6.005 ± 0.535,2.515 ± 0.564,2.276 ± 2.276,1.326 ± 0.050,0.114 ± 0.101,0.063 ± 0.063,125.177,13.012,6.185,2.617,0.400,0.076,1057.908,88.316,0.956,0.586,0.199,0.036,0.007,120.890
