nbin,nData,TotalBkg,t#bar{t}+x,VV,W+jets/#gamma,DY,WWss,Z#gamma,VVV,Single t,multi-top,Higgs,QCD,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,36,36.666 ± 2.206,9.954 ± 0.596,7.161 ± 0.415,7.269 ± 0.938,5.493 ± 1.809,2.660 ± 0.133,1.154 ± 0.177,1.312 ± 0.238,0.315 ± 0.243,1.017 ± 0.062,0.193 ± 0.018,0.138 ± 0.138,0.000,0.919,0.037,0.000,0.000,0.000,0.000,8.939,1.251,0.260,0.000,0.002,0.000,0.000
5,1508,1508.260 ± 29.607,459.212 ± 4.190,307.086 ± 2.742,244.273 ± 5.452,241.756 ± 27.654,92.711 ± 0.797,40.808 ± 1.328,31.018 ± 1.090,38.707 ± 2.663,38.046 ± 0.378,6.378 ± 0.107,8.264 ± 6.797,522.456,48.284,9.972,1.170,0.055,0.002,21.944,597.131,78.880,17.454,2.242,0.374,0.004,0.000
6,1626,1626.467 ± 24.926,436.923 ± 4.082,364.023 ± 3.000,300.095 ± 5.828,212.776 ± 23.437,145.252 ± 0.963,40.105 ± 1.284,38.957 ± 1.174,38.347 ± 2.448,41.298 ± 0.388,5.661 ± 0.101,3.031 ± 1.513,705.268,52.281,24.653,6.043,0.248,0.013,69.926,679.260,79.813,40.608,8.934,1.525,0.026,116.600
7,1213,1213.613 ± 29.820,205.716 ± 2.776,258.304 ± 2.552,222.455 ± 4.747,213.330 ± 29.018,179.875 ± 1.027,30.173 ± 1.076,40.687 ± 1.182,32.149 ± 2.572,27.596 ± 0.320,2.642 ± 0.069,0.687 ± 0.335,137.714,35.395,34.580,18.734,4.219,0.952,12000.720,322.981,51.090,52.669,30.012,5.281,1.846,24532.874
Total,4385.006,4385.006 ± 48.908,1111.806 ± 6.503,936.574 ± 4.817,774.092 ± 9.333,673.354 ± 46.469,420.498 ± 1.623,112.239 ± 2.145,111.973 ± 2.005,109.517 ± 4.446,107.958 ± 0.632,14.874 ± 0.164,12.120 ± 6.973,1365.438,136.878,69.242,25.947,4.522,0.967,12092.590,1608.312,211.035,110.991,41.187,7.182,1.876,24649.475
