nbin,nData,TotalBkg,VV,t#bar{t}+x,W+jets/#gamma,WWss,VVV,multi-top,DY,Single t,Z#gamma,QCD,Higgs,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,2,2.274 ± 0.359,0.593 ± 0.108,0.608 ± 0.150,0.653 ± 0.293,0.183 ± 0.035,0.144 ± 0.084,0.077 ± 0.016,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.017 ± 0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.112,0.000,0.000,0.000,0.000,0.000
5,65,65.066 ± 3.663,18.591 ± 0.640,19.517 ± 0.820,10.273 ± 1.144,5.061 ± 0.188,1.602 ± 0.268,2.274 ± 0.086,4.398 ± 3.110,1.482 ± 0.551,0.522 ± 0.185,0.950 ± 0.950,0.395 ± 0.027,12.946,4.672,0.720,0.031,0.002,0.000,0.000,46.938,3.676,0.436,0.047,0.006,0.000,0.000
6,63,63.720 ± 1.711,21.220 ± 0.710,19.729 ± 0.829,10.207 ± 1.151,6.221 ± 0.210,2.228 ± 0.325,2.112 ± 0.078,0.000 ± 0.000,0.997 ± 0.457,0.641 ± 0.214,0.000 ± 0.000,0.365 ± 0.026,32.127,3.983,1.677,0.550,0.037,0.002,5.828,29.447,3.028,1.113,0.249,0.019,0.001,5.947
7,41,41.284 ± 1.410,14.375 ± 0.585,8.662 ± 0.526,7.852 ± 1.008,5.976 ± 0.206,1.871 ± 0.295,1.269 ± 0.053,0.000 ± 0.000,0.959 ± 0.457,0.141 ± 0.100,0.013 ± 0.013,0.166 ± 0.018,24.033,2.640,2.937,1.533,0.386,0.092,1176.826,12.731,1.674,1.236,0.597,0.095,0.024,373.947
Total,172.345,172.345 ± 4.297,54.780 ± 1.126,48.516 ± 1.288,28.985 ± 1.933,17.441 ± 0.351,5.844 ± 0.521,5.732 ± 0.128,4.398 ± 3.110,3.438 ± 0.849,1.304 ± 0.300,0.964 ± 0.951,0.943 ± 0.042,69.106,11.295,5.334,2.114,0.425,0.094,1182.655,89.115,8.490,2.785,0.893,0.120,0.025,379.893
