nbin,nData,TotalBkg,VV,t#bar{t}+x,W+jets/#gamma,DY,WWss,multi-top,VVV,Single t,Z#gamma,Higgs,QCD,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,27,27.324 ± 1.713,6.616 ± 0.409,7.982 ± 0.526,5.827 ± 0.842,2.214 ± 1.282,2.059 ± 0.127,0.935 ± 0.061,1.060 ± 0.236,0.236 ± 0.236,0.202 ± 0.093,0.193 ± 0.018,0.000 ± 0.000,0.000,0.651,0.037,0.000,0.000,0.000,0.000,8.939,1.161,0.206,0.000,0.002,0.000,0.000
5,1194,1194.177 ± 28.777,283.433 ± 2.695,349.940 ± 3.557,194.212 ± 4.990,181.522 ± 26.969,65.801 ± 0.737,33.950 ± 0.369,23.190 ± 1.073,30.414 ± 2.584,17.190 ± 1.106,6.331 ± 0.107,8.195 ± 6.797,451.986,37.697,7.608,0.870,0.033,0.002,12.790,505.006,61.722,12.908,1.702,0.280,0.003,0.000
6,1207,1207.945 ± 23.813,328.919 ± 2.930,314.604 ± 3.335,225.726 ± 5.404,145.356 ± 22.567,81.553 ± 0.826,35.404 ± 0.375,26.954 ± 1.149,25.793 ± 2.333,17.595 ± 1.091,5.600 ± 0.101,0.440 ± 0.241,497.171,37.706,18.165,4.256,0.190,0.012,52.599,519.011,58.095,29.481,6.529,1.102,0.017,98.554
7,817,817.840 ± 28.870,225.825 ± 2.471,133.958 ± 2.099,154.104 ± 4.432,143.058 ± 28.220,79.269 ± 0.821,21.938 ± 0.307,27.117 ± 1.155,18.201 ± 2.019,11.584 ± 0.892,2.605 ± 0.069,0.180 ± 0.096,110.562,24.718,23.507,13.193,2.912,0.661,8380.228,248.626,36.092,37.506,21.312,3.713,1.285,17300.748
Total,3247.286,3247.286 ± 47.239,844.793 ± 4.703,806.484 ± 5.334,579.870 ± 8.629,472.151 ± 45.107,228.682 ± 1.384,92.227 ± 0.612,78.320 ± 1.965,74.644 ± 4.031,46.571 ± 1.794,14.728 ± 0.164,8.815 ± 6.802,1059.719,100.772,49.316,18.319,3.135,0.675,8445.617,1281.583,157.069,80.100,29.543,5.097,1.306,17399.301
