nbin,nData,TotalBkg,DY,VV,W+jets/#gamma,t#bar{t}+x,WWss,Z#gamma,multi-top,VVV,Single t,Higgs,QCD,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,3,3.168 ± 0.479,0.000 ± 0.000,1.151 ± 0.195,0.890 ± 0.399,0.807 ± 0.164,0.150 ± 0.038,0.000 ± 0.000,0.096 ± 0.020,0.062 ± 0.052,0.000 ± 0.000,0.012 ± 0.004,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.046,0.000,0.002,0.000,0.000
5,192,192.108 ± 23.011,78.822 ± 22.829,33.994 ± 1.074,26.894 ± 2.208,35.120 ± 1.146,5.084 ± 0.226,4.536 ± 0.678,3.369 ± 0.114,1.876 ± 0.294,1.960 ± 0.631,0.454 ± 0.027,0.000 ± 0.000,45.362,0.167,0.000,0.000,0.000,0.000,0.000,26.802,12.749,3.199,0.388,0.039,0.001,0.000
6,185,185.800 ± 18.814,58.099 ± 18.524,38.888 ± 1.158,38.325 ± 2.644,31.143 ± 1.068,6.114 ± 0.249,2.959 ± 0.552,3.500 ± 0.112,2.566 ± 0.347,3.755 ± 0.941,0.450 ± 0.027,0.000 ± 0.000,43.308,0.000,0.000,0.050,0.003,0.000,0.000,52.986,13.182,6.650,1.527,0.238,0.002,9.605
7,136,136.320 ± 24.700,52.428 ± 24.565,29.168 ± 1.021,24.183 ± 2.104,15.190 ± 0.716,7.336 ± 0.277,2.391 ± 0.500,2.162 ± 0.081,2.417 ± 0.341,0.826 ± 0.449,0.212 ± 0.019,0.004 ± 0.003,0.000,0.085,0.058,0.071,0.009,0.005,71.772,17.881,7.883,8.993,4.417,0.941,0.317,4030.762
Total,517.396,517.396 ± 38.650,189.349 ± 38.311,103.201 ± 1.891,90.292 ± 4.056,82.259 ± 1.730,18.685 ± 0.438,9.887 ± 1.007,9.127 ± 0.180,6.922 ± 0.570,6.540 ± 1.219,1.128 ± 0.044,0.004 ± 0.003,88.670,0.252,0.058,0.121,0.012,0.005,71.772,97.669,34.064,18.888,6.333,1.220,0.320,4040.367
