nbin,nData,TotalBkg,VV,t#bar{t}+x,W+jets/#gamma,WWss,multi-top,VVV,Single t,Z#gamma,Higgs,QCD,DY,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,2,2.255 ± 0.405,0.464 ± 0.138,0.702 ± 0.152,0.580 ± 0.337,0.255 ± 0.049,0.128 ± 0.023,0.103 ± 0.073,0.000 ± 0.000,0.000 ± 0.000,0.022 ± 0.006,0.000 ± 0.000,0.000 ± 0.000,0.000,0.081,0.000,0.000,0.000,0.000,0.000,0.000,0.161,0.000,0.000,0.000,0.000,0.000
5,83,83.167 ± 2.251,25.262 ± 0.911,28.456 ± 1.021,14.817 ± 1.629,7.007 ± 0.265,2.935 ± 0.101,1.803 ± 0.296,1.398 ± 0.535,0.877 ± 0.293,0.611 ± 0.032,0.000 ± 0.000,0.000 ± 0.000,25.089,5.809,1.390,0.248,0.011,0.000,0.000,61.188,3.354,0.458,0.016,0.017,0.000,0.000
6,90,90.107 ± 2.375,30.023 ± 1.015,25.142 ± 0.948,17.875 ± 1.782,8.704 ± 0.298,2.957 ± 0.098,2.978 ± 0.381,0.983 ± 0.450,0.913 ± 0.304,0.533 ± 0.030,0.000 ± 0.000,0.000 ± 0.000,37.012,5.279,2.902,0.898,0.025,0.001,0.000,41.991,3.736,0.959,0.132,0.017,0.002,8.628
7,55,55.511 ± 1.843,20.559 ± 0.843,10.338 ± 0.566,10.246 ± 1.359,8.283 ± 0.292,1.762 ± 0.067,2.525 ± 0.344,1.233 ± 0.529,0.304 ± 0.176,0.261 ± 0.021,0.000 ± 0.000,0.000 ± 0.000,0.000,3.405,4.186,2.194,0.608,0.135,1743.578,28.764,2.990,1.166,0.918,0.121,0.031,399.529
Total,231.040,231.040 ± 3.778,76.309 ± 1.609,64.639 ± 1.511,43.518 ± 2.791,24.249 ± 0.497,7.782 ± 0.157,7.410 ± 0.597,3.614 ± 0.876,2.094 ± 0.458,1.427 ± 0.049,0.000 ± 0.000,0.000 ± 0.000,62.101,14.573,8.478,3.340,0.644,0.135,1743.578,131.942,10.241,2.584,1.066,0.154,0.033,408.156
