nbin,nData,TotalBkg,t#bar{t}+x,VV,WWss,VVV,multi-top,Single t,W+jets/#gamma,DY,Higgs,Z#gamma,QCD,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,4,4.143 ± 0.322,1.827 ± 0.248,1.065 ± 0.153,0.684 ± 0.066,0.295 ± 0.114,0.180 ± 0.024,0.004 ± 0.004,0.000 ± 0.000,0.000 ± 0.000,0.057 ± 0.010,0.030 ± 0.030,0.000 ± 0.000,0.000,0.263,0.037,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,213,213.154 ± 3.146,91.834 ± 1.866,57.256 ± 1.104,27.694 ± 0.436,8.880 ± 0.592,8.670 ± 0.171,10.617 ± 1.461,3.533 ± 0.660,1.993 ± 1.417,1.986 ± 0.060,0.454 ± 0.138,0.237 ± 0.167,160.794,21.105,4.462,0.552,0.024,0.001,18.003,106.739,2.063,0.087,0.072,0.012,0.000,0.000
6,230,230.866 ± 3.726,83.969 ± 1.773,68.427 ± 1.197,42.665 ± 0.518,9.639 ± 0.586,9.615 ± 0.166,6.701 ± 0.993,3.375 ± 0.638,4.480 ± 2.696,1.706 ± 0.055,0.289 ± 0.072,0.000 ± 0.000,256.926,23.047,11.378,2.693,0.101,0.004,34.076,115.523,1.567,0.786,0.143,0.034,0.003,6.551
7,160,160.088 ± 2.139,34.786 ± 1.103,45.974 ± 0.972,51.304 ± 0.547,10.455 ± 0.603,6.513 ± 0.121,6.440 ± 1.166,3.428 ± 0.602,0.000 ± 0.000,0.719 ± 0.036,0.442 ± 0.117,0.028 ± 0.015,88.335,15.610,13.903,8.580,1.749,0.387,4753.577,75.549,0.261,1.271,0.457,0.105,0.038,473.610
Total,608.251,608.251 ± 5.335,212.417 ± 2.812,172.722 ± 1.903,122.348 ± 0.873,29.269 ± 1.035,24.977 ± 0.269,23.761 ± 2.117,10.337 ± 1.098,6.473 ± 3.045,4.468 ± 0.090,1.215 ± 0.197,0.264 ± 0.167,506.055,60.024,29.781,11.825,1.874,0.392,4805.656,297.810,3.891,2.144,0.672,0.150,0.041,480.161
