nbin,nData,TotalBkg,t#bar{t}+x,VV,W+jets/#gamma,WWss,multi-top,Single t,VVV,DY,Z#gamma,Higgs,QCD,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0,0.826 ± 0.149,0.385 ± 0.118,0.195 ± 0.044,0.052 ± 0.052,0.072 ± 0.020,0.043 ± 0.015,0.000 ± 0.000,0.076 ± 0.055,0.000 ± 0.000,0.000 ± 0.000,0.004 ± 0.002,0.000 ± 0.000,0.000,0.046,0.000,0.000,0.000,0.000,0.000,8.939,0.000,0.030,0.000,0.000,0.000,0.000
5,49,49.146 ± 1.767,20.147 ± 0.914,11.287 ± 0.438,10.062 ± 0.793,2.197 ± 0.119,1.549 ± 0.096,0.970 ± 0.396,0.951 ± 0.227,1.103 ± 1.103,0.617 ± 0.131,0.238 ± 0.020,0.024 ± 0.024,29.083,0.790,0.229,0.000,0.000,0.000,0.000,2.823,2.481,0.905,0.094,0.008,0.000,0.000
6,53,53.174 ± 1.732,17.571 ± 0.864,13.766 ± 0.507,12.672 ± 0.879,2.722 ± 0.136,1.773 ± 0.128,1.839 ± 0.608,0.951 ± 0.207,0.856 ± 0.856,0.634 ± 0.131,0.222 ± 0.020,0.168 ± 0.168,0.000,0.978,0.293,0.068,0.001,0.000,0.000,4.632,2.180,1.399,0.367,0.063,0.001,14.374
7,32,32.158 ± 1.207,6.730 ± 0.487,8.260 ± 0.347,10.430 ± 0.826,2.397 ± 0.124,0.969 ± 0.109,1.262 ± 0.538,1.398 ± 0.287,0.000 ± 0.000,0.600 ± 0.135,0.091 ± 0.012,0.019 ± 0.019,3.968,0.626,0.490,0.209,0.028,0.007,94.071,8.934,1.058,1.586,0.933,0.122,0.046,679.401
Total,135.303,135.303 ± 2.758,44.833 ± 1.354,33.509 ± 0.756,33.216 ± 1.445,7.389 ± 0.220,4.334 ± 0.194,4.071 ± 0.903,3.376 ± 0.424,1.958 ± 1.396,1.852 ± 0.229,0.556 ± 0.031,0.211 ± 0.171,33.051,2.440,1.012,0.277,0.030,0.008,94.071,25.329,5.719,3.921,1.395,0.193,0.047,693.775
