nbin,nData,TotalBkg,DY,t#bar{t}+x,W+jets/#gamma,Z#gamma,VV,WWss,Single t,VVV,multi-top,QCD,Higgs,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0,0.824 ± 0.546,0.541 ± 0.541,0.060 ± 0.036,0.048 ± 0.048,0.082 ± 0.039,0.046 ± 0.021,0.030 ± 0.006,0.000 ± 0.000,0.010 ± 0.007,0.006 ± 0.003,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.000,0.000,0.000,0.000,0.000
5,18,18.318 ± 1.867,6.714 ± 1.737,4.261 ± 0.433,2.507 ± 0.442,2.663 ± 0.253,0.983 ± 0.102,0.620 ± 0.026,0.287 ± 0.106,0.175 ± 0.024,0.105 ± 0.010,0.000 ± 0.000,0.002 ± 0.001,0.000,0.011,0.000,0.000,0.000,0.000,0.000,3.575,1.199,0.365,0.042,0.005,0.000,0.000
6,24,24.111 ± 2.403,9.134 ± 2.278,5.120 ± 0.466,4.321 ± 0.531,2.333 ± 0.230,1.292 ± 0.118,0.879 ± 0.031,0.554 ± 0.127,0.305 ± 0.034,0.170 ± 0.014,0.000 ± 0.000,0.002 ± 0.001,4.556,0.000,0.000,0.005,0.000,0.000,0.000,5.837,1.508,0.783,0.186,0.026,0.000,0.000
7,18,18.111 ± 1.820,5.717 ± 1.622,2.783 ± 0.381,3.527 ± 0.336,1.980 ± 0.203,1.230 ± 0.117,1.182 ± 0.036,1.107 ± 0.604,0.421 ± 0.041,0.151 ± 0.012,0.011 ± 0.011,0.002 ± 0.002,0.000,0.000,0.008,0.009,0.001,0.001,9.573,2.385,1.085,1.165,0.590,0.125,0.042,547.764
Total,61.364,61.364 ± 3.587,22.105 ± 3.336,12.223 ± 0.742,10.403 ± 0.769,7.059 ± 0.399,3.552 ± 0.196,2.711 ± 0.054,1.949 ± 0.626,0.912 ± 0.058,0.432 ± 0.021,0.011 ± 0.011,0.005 ± 0.002,4.556,0.011,0.008,0.014,0.001,0.001,9.573,11.797,3.804,2.312,0.818,0.156,0.043,547.764
