nbin,nData,TotalBkg,DY,W+jets/#gamma,VV,t#bar{t}+x,WWss,Z#gamma,multi-top,Single t,VVV,Higgs,QCD,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,1,1.853 ± 0.839,0.813 ± 0.813,0.478 ± 0.182,0.248 ± 0.047,0.134 ± 0.056,0.032 ± 0.012,0.105 ± 0.063,0.040 ± 0.013,0.000 ± 0.000,0.000 ± 0.000,0.003 ± 0.002,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.068,0.000,0.000,0.000,0.000,0.000
5,58,58.150 ± 3.479,15.933 ± 3.199,12.964 ± 0.921,10.123 ± 0.454,12.846 ± 0.622,1.511 ± 0.100,1.531 ± 0.217,1.262 ± 0.103,1.091 ± 0.568,0.737 ± 0.194,0.151 ± 0.017,0.000 ± 0.000,10.551,0.069,0.000,0.000,0.000,0.000,0.000,16.159,4.376,0.706,0.157,0.025,0.000,0.000
6,60,60.900 ± 3.791,16.562 ± 3.547,13.850 ± 0.943,11.815 ± 0.504,11.423 ± 0.573,1.872 ± 0.112,1.939 ± 0.241,1.445 ± 0.122,1.246 ± 0.452,0.616 ± 0.170,0.131 ± 0.015,0.000 ± 0.000,5.789,0.036,0.000,0.009,0.000,0.001,4.544,23.036,3.967,2.150,0.446,0.064,0.001,0.000
7,50,50.706 ± 5.556,20.884 ± 5.446,10.066 ± 0.799,8.235 ± 0.376,5.106 ± 0.387,1.922 ± 0.111,1.486 ± 0.224,1.199 ± 0.144,0.879 ± 0.395,0.868 ± 0.197,0.061 ± 0.011,0.000 ± 0.000,0.000,0.000,0.063,0.023,0.004,0.002,21.581,7.949,2.490,2.812,1.674,0.334,0.113,1526.939
Total,171.609,171.609 ± 7.619,54.192 ± 7.290,37.359 ± 1.552,30.422 ± 0.777,29.508 ± 0.932,5.336 ± 0.187,5.062 ± 0.400,3.946 ± 0.215,3.217 ± 0.826,2.221 ± 0.325,0.347 ± 0.025,0.000 ± 0.000,16.340,0.105,0.063,0.032,0.004,0.002,26.125,47.143,10.900,5.668,2.277,0.423,0.114,1526.939
