,sample_subsample,Full DAS string,nEvtTotal,"Lumi (pb-1)
(Golden JSON)",,,,,,,,,
,,,,,,,,,,,,,
,Muon0_C1,/Muon0/Run2023C-22Sep2023_v1-v1/NANOAOD,54715896,,,,,,,,,,
,Muon0_C2,/Muon0/Run2023C-22Sep2023_v2-v1/NANOAOD,17063451,,,,,,,,,,
,Muon0_C3,/Muon0/Run2023C-22Sep2023_v3-v1/NANOAOD,20015377,,,,,,,,,,
,Muon0_C4,/Muon0/Run2023C-22Sep2023_v4-v1/NANOAOD,138943783,,,,,,,,,,
,Muon1_C1,/Muon1/Run2023C-22Sep2023_v1-v1/NANOAOD,54698315,,,,,,,,,,
,Muon1_C2,/Muon1/Run2023C-22Sep2023_v2-v1/NANOAOD,17059895,,,,,,,,,,
,Muon1_C3,/Muon1/Run2023C-22Sep2023_v3-v1/NANOAOD,20010429,,,,,,,,,,
,Muon1_C4,/Muon1/Run2023C-22Sep2023_v4-v2/NANOAOD,138912262,,,,,,,,,,
,,,,,,,,,,,,,
,EGamma0_C1,/EGamma0/Run2023C-22Sep2023_v1-v1/NANOAOD,67598081,,,,,,,,,,
,EGamma0_C2,/EGamma0/Run2023C-22Sep2023_v2-v1/NANOAOD,17233307,,,,,,,,,,
,EGamma0_C3,/EGamma0/Run2023C-22Sep2023_v3-v1/NANOAOD,21993048,,,,,,,,,,
,EGamma0_C4,/EGamma0/Run2023C-22Sep2023_v4-v1/NANOAOD,160108119,,,,,,,,,,
,EGamma1_C1,/EGamma1/Run2023C-22Sep2023_v1-v1/NANOAOD,67582665,,,,,,,,,,
,EGamma1_C2,/EGamma1/Run2023C-22Sep2023_v2-v1/NANOAOD,17230822,,,,,,,,,,
,EGamma1_C3,/EGamma1/Run2023C-22Sep2023_v3-v1/NANOAOD,21987586,,,,,,,,,,
,EGamma1_C4,/EGamma1/Run2023C-22Sep2023_v4-v1/NANOAOD,160049621,,,,,,,,,,
,,,Total,17.7940,,,,,,,,,
,,Golden JSON = https://cms-service-dqmdc.web.cern.ch/CAF/certification/Collisions23/Cert_Collisions2023_366442_370790_Golden.json,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,TT_TTto2L2Nu,/TTto2L2Nu_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer23NanoAODv12-130X_mcRun3_2023_realistic_v14-v2/NANOAODSIM,7.621e+02 +- 1.345e-01,97.5400,47552000,,0.000,487512.815,arXiv:2412.02477,,,,
,TT_TTtoLNu2Q,/TTtoLNu2Q_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer23NanoAODv12-130X_mcRun3_2023_realistic_v14-v2/NANOAODSIM,7.621e+02 +- 1.345e-01,403.2500,146026000,,0.000,362122.753,arXiv:2412.02477,,,,
,,,,,,,,,,,,,
,Single top production,,,,,,,,,,,,
,ST_TbarBQ,/TbarBQ_t-channel_4FS_TuneCP5_13p6TeV_powheg-madspin-pythia8/Run3Summer23NanoAODv12-130X_mcRun3_2023_realistic_v15-v2/NANOAODSIM,7.547e+01 +- 2.361e-01,87.2000,2878000,,0.000,33004.587,arXiv:2303.1068,,,,
,ST_TbarBtoLminusNuB,/TbarBtoLminusNuB-s-channel-4FS_TuneCP5_13p6TeV_amcatnlo-pythia8/Run3Summer23NanoAODv12-130X_mcRun3_2023_realistic_v15-v2/NANOAODSIM,1.430e+00 +- 4.371e-04,1.4300,1600000,,0.000,1118881.119,,,,,
,ST_TbarQto2Q,/TbarQto2Q-t-channel_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer23NanoAODv12-130X_mcRun3_2023_realistic_v15-v2/NANOAODSIM,7.856e+01 +- 4.092e-02,52.3400,10920000,,0.000,208635.843,(2018Xsec+15%)*0.67, arXiv:2409.06444,,,
,ST_TbarQtoLNu,/TbarQtoLNu-t-channel_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer23NanoAODv12-130X_mcRun3_2023_realistic_v15-v2/NANOAODSIM,7.856e+01 +- 4.092e-02,25.7800,11546000,,0.000,447866.563,(2018Xsec+15%)*0.33, arXiv:2409.06444,,,
,ST_TBbarQ,/TBbarQ_t-channel_4FS_TuneCP5_13p6TeV_powheg-madspin-pythia8/Run3Summer23NanoAODv12-130X_mcRun3_2023_realistic_v15-v2/NANOAODSIM,1.238e+02 +- 3.709e-01,145.0000,5786000,,0.000,39903.448,arXiv:2303.1068,,,,
,ST_TBbartoLplusNuBbar,/TBbartoLplusNuBbar-s-channel-4FS_TuneCP5_13p6TeV_amcatnlo-pythia8/Run3Summer23NanoAODv12-130X_mcRun3_2023_realistic_v15-v2/NANOAODSIM,2.278e+00 +- 4.011e-04,2.2780,2596000,,0.000,1139596.137,,,,,
,ST_TQbarto2Q,/TQbarto2Q-t-channel_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer23NanoAODv12-130X_mcRun3_2023_realistic_v15-v1/NANOAODSIM,1.300e+02 +- 7.514e-02,87.1000,18948900,,0.000,217553.387,(2018Xsec+15%)*0.67, arXiv:2409.06444,,,
,ST_TQbartoLNu,/TQbartoLNu-t-channel_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer23NanoAODv12-130X_mcRun3_2023_realistic_v15-v2/NANOAODSIM,1.300e+02 +- 7.514e-02,42.9000,17958000,,0.000,418601.399,(2018Xsec+15%)*0.33, arXiv:2409.06444,,,
,,,,,,,,,,,,,
,TW,,,,,,,,,,,,
,TW_TbarWplusto2L2Nu,/TbarWplusto2L2Nu_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer23NanoAODv12-130X_mcRun3_2023_realistic_v15-v4/NANOAODSIM,3.605e+01 +- 1.296e-02,4.7053,4931000,,0.000,1047971.640,,,,,
,TW_TbarWplustoLNu2Q,/TbarWplustoLNu2Q_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer23NanoAODv12-130X_mcRun3_2023_realistic_v15-v6/NANOAODSIM,3.605e+01 +- 1.296e-02,9.6939,9550671,,0.000,985229.406,,,,,
,TW_TWminusto2L2Nu,/TWminusto2L2Nu_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer23NanoAODv12-130X_mcRun3_2023_realistic_v14-v2/NANOAODSIM,3.599e+01 +- 1.292e-02,4.7053,4985000,,0.000,1059448.109,ST NNLO twiki,https://twiki.cern.ch/twiki/bin/view/LHCPhysics/SingleTopNNLORef,,,
,TW_TWminustoLNu2Q,/TWminustoLNu2Q_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer23NanoAODv12-130X_mcRun3_2023_realistic_v14-v2/NANOAODSIM,3.599e+01 +- 1.292e-02,9.6939,9234494,,0.000,952613.176,,,,,
,,,,,,,,,,,,,
,TT + V,,,,,,,,,,,,
,TTV_TTWtoLNu,/TTLNu-1Jets_TuneCP5_13p6TeV_amcatnloFXFX-pythia8/Run3Summer23NanoAODv12-130X_mcRun3_2023_realistic_v15-v2/NANOAODSIM,2.508e-01 +- 2.058e-03,0.2508,782000,,0.000,3118022.329,,,,,
,TTV_TTZtoLL4to50,/TTLL_MLL-4to50_TuneCP5_13p6TeV_amcatnlo-pythia8/Run3Summer23NanoAODv12-130X_mcRun3_2023_realistic_v15-v2/NANOAODSIM,3.949e-02 +- 2.728e-05,0.0395,460305,,0.000,11656242.087,,,,,
,TTV_TTZtoLL50toInf,/TTLL_MLL-50_TuneCP5_13p6TeV_amcatnlo-pythia8/Run3Summer23NanoAODv12-130X_mcRun3_2023_realistic_v15-v2/NANOAODSIM,8.646e-02 +- 5.520e-05,0.0865,591000,,0.000,6835530.881,,,,,
,,,,,,,,,,,,,
,RareTop,,,,,,,,,,,,
,RareTop_THQ,/THQ_ctcvcp_HIncl_M-125_4FS_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer23NanoAODv12-130X_mcRun3_2023_realistic_v15-v4/NANOAODSIM,7.419e-01 +- 5.018e-04,0.7419,3909998,,0.000,5270249.360,,,,,
,RareTop_THW,/THW_ctcvcp_HIncl_M-125_5FS_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer23NanoAODv12-130X_mcRun3_2023_realistic_v15-v4/NANOAODSIM,1.332e-01 +- 8.549e-05,0.1332,1987999,,0.000,14924917.417,,,,,
