,,2018_UL,,,,,,,,,,,,,,
,"Samples are ordered by categories, then within each category, alphanumerically.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Data,,,,,,,,,,,,,,
,sample_subsample,Full DAS string,nEvtTotal,"Lumi (pb-1)
(Golden JSON)",,,,True value,,,,,,,,
,,,,,,,,,,,,,,,,
,Muon_A,/SingleMuon/Run2018A-UL2018_MiniAODv2_NanoAODv9-v2/NANOAOD,241608232,,,,,241608232,,,,,,,,
,Muon_B,/SingleMuon/Run2018B-UL2018_MiniAODv2_NanoAODv9-v2/NANOAOD,119918017,,,,,119918017,,,,,,,,
,Muon_C,/SingleMuon/Run2018C-UL2018_MiniAODv2_NanoAODv9-v2/NANOAOD,109986009,,,,,109986009,,,,,,,,
,Muon_D,/SingleMuon/Run2018D-UL2018_MiniAODv2_NanoAODv9-v1/NANOAOD,513909894,,,,,513909894,,,,,,,,
,,,,,,,,,,,,,,,,
,EGamma_A,/EGamma/Run2018A-UL2018_MiniAODv2_NanoAODv9-v1/NANOAOD,339013231,,,,,339013231,,,,,,,,
,EGamma_B,/EGamma/Run2018B-UL2018_MiniAODv2_NanoAODv9-v1/NANOAOD,153792795,,,,,153792795,,,,,,,,
,EGamma_C,/EGamma/Run2018C-UL2018_MiniAODv2_NanoAODv9-v1/NANOAOD,147827904,,,,,147827904,,,,,,,,
,EGamma_D,/EGamma/Run2018D-UL2018_MiniAODv2_NanoAODv9-v3/NANOAOD,752524583,,,,,752524583,,,,,,,,
,,,Total,59830.0000,,,,,,,,,,,,
,,Golden JSON = Cert_314472-325175_13TeV_Legacy2018_Collisions18_JSON.txt,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,MC (SM backgrounds),,,,,,,,,,,,,,
,sample_subsample,Full DAS string,xSec (pb),xSec (pb) (used),nEvtGen,nEvtPass,Accp (%),Lumi (pb-1),Comments/Source,,,,,,,
,,,,,,,,,,,,,,,,
,Single W production,,,,,,,,,,,,,,,
,WtoLNu_Inclusive,/WJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v2/NANOAODSIM,6.748e+04 +- 6.117e+02,67480.0000,29117828,671,0.002,431.503,,,,,,,,
,WtoLNu_70to100,/WJetsToLNu_HT-70To100_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM,1.267e+03 +- 5.402e+00,1267.0000,66220256,4536,0.007,52265.395,,,,,,,,
,WtoLNu_100to200,/WJetsToLNu_HT-100To200_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM,1.259e+03 +- 5.438e+00,1259.0000,51408967,5154,0.010,40833.175,,,,,,,,
,WtoLNu_200to400,/WJetsToLNu_HT-200To400_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM,3.372e+02 +- 1.513e+00,337.2000,58225632,8735,0.015,172673.879,,,,,,,,
,WtoLNu_400to600,/WJetsToLNu_HT-400To600_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM,4.516e+01 +- 1.971e-01,45.1600,7444030,1426,0.019,164836.802,,,,,,,,
