,,2017_UL,,,,,,,,,,,,,,
,"Samples are ordered by categories, then within each category, alphanumerically.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Data,,,,,,,,,,,,,,
,sample_subsample,Full DAS string,nEvtTotal,"Lumi (pb-1)
(Golden JSON)",,,,True value,,,,,,,,
,,,,,,,,,,,,,,,,
,DYto2L_10to50,/DYJetsToLL_M-10to50_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v1/NANOAODSIM,1.589e+04 +- 2.550e+01,18610.0000,68480179,,0.000,3679.752,arXiv:2202.08676,,,,,,,
,DYto2L_50toInf,/DYJetsToLL_M-50_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9_ext1-v1/NANOAODSIM,5.361e+03 +- 4.847e+01,5675.0000,101390731,,0.000,17866.208,arXiv:2202.08676,,,,,,,
,DYGToLLG_Inclusive,/ZGToLLG_01J_5f_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v1/NANOAODSIM,5.144e+01 +- 3.608e-01,51.4400,29890946,,0.000,581083.709,,,,,,,,
,,,,,,,,,,,,,,,,
,TTBar production,,,,,,,,,,Production,decay of dau1,decay of dau2,permutation,Final xsec,https://twiki.cern.ch/twiki/bin/view/LHCPhysics/TtbarNNLO
,TT_TTto2L2Nu,/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v1/NANOAODSIM,6.871e+02 +- 5.174e-01,88.2900,106724000,,0.000,1208789.217,arXiv:2202.08676,,833.9,0.3258,0.3258,1,88.514849 ,
,TT_TTtoLNu2Q,/TTToSemiLeptonic_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v1/NANOAODSIM,6.871e+02 +- 5.174e-01,365.3400,344772000,,0.000,943701.757,arXiv:2202.08676,,833.9,0.3258,0.6741,2,366.285205 ,
,,,,,,,,,,,,,,,,
,Single top production,,,,,,,,,,Production,https://twiki.cern.ch/twiki/bin/view/LHCPhysics/SingleTopNNLORef,,,,
,ST_s-channel,/ST_s-channel_4f_leptonDecays_TuneCP5_13TeV-amcatnlo-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v1/NANOAODSIM,3.549e+00 +- 3.082e-03,3.7400,13620000,,0.000,3641711.230,arXiv:2202.08676,,11.073,,,,,
,ST_t-channel-antitop,/ST_t-channel_antitop_4f_InclusiveDecays_TuneCP5_13TeV-powheg-madspin-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v1/NANOAODSIM,6.793e+01 +- 4.479e-01,67.9300,69793000,,0.000,1027425.291,,,80,,,,,
,ST_t-channel-top,/ST_t-channel_top_4f_InclusiveDecays_TuneCP5_13TeV-powheg-madspin-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v1/NANOAODSIM,1.134e+02 +- 8.831e-01,113.4000,129903000,,0.000,1145529.101,,,134.2,,,,,
,,,,,,,,,,,,,,,,
,TW,,,,,,,,,,,,,,,
