,,2016preVFP_UL,,,,,,,,,,,,,,,,
,"Samples are ordered by categories, then within each category, alphanumerically.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Data,,,,,,,,,,,,,,,,
,sample_subsample,Full DAS string,nEvtTotal,"Lumi (pb-1)
(Golden JSON)",,,,True value,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,WtoLNu_1200to2500,/WJetsToLNu_HT-1200To2500_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL16NanoAODAPVv9-106X_mcRun2_asymptotic_preVFP_v11-v1/NANOAODSIM,1.156e+00 +- 6.101e-03,1.1560,2119975,,0.000,1833888.408,2119975,1.000000,,,,,,,,
,WtoLNu_2500toInf,/WJetsToLNu_HT-2500ToInf_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL16NanoAODAPVv9-106X_mcRun2_asymptotic_preVFP_v11-v2/NANOAODSIM,2.643e-02 +- 1.817e-04,0.0264,808649,,,30595875.899,808649,1.000000,,,,,,,,
,WGtoLNuG_Inclusive,/WGToLNuG_01J_5f_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIISummer20UL16NanoAODAPVv9-106X_mcRun2_asymptotic_preVFP_v11-v1/NANOAODSIM,1.913e+02 +- 1.046e+00,191.3000,53848477,,0.000,281487.073,19280562074,358.052133,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Single Z production,,,,,,,,,,,,,,,,,
,DYto2L_10to50,/DYJetsToLL_M-10to50_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIISummer20UL16NanoAODAPVv9-106X_mcRun2_asymptotic_preVFP_v11-v1/NANOAODSIM,1.589e+04 +- 2.550e+01,18610.0000,49632553,,0.000,2666.983,1695387320320,34158.777211,arXiv:2202.08676,,,,,,,
,DYto2L_50toInf,/DYJetsToLL_M-50_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIISummer20UL16NanoAODAPVv9-106X_mcRun2_asymptotic_preVFP_v11-v1/NANOAODSIM,5.361e+03 +- 4.847e+01,5675.0000,90947213,,0.000,16025.941,1535068230656,16878.672584,arXiv:2202.08676,,,,,,,
,DYGToLLG_Inclusive,/ZGToLLG_01J_5f_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIISummer20UL16NanoAODAPVv9-106X_mcRun2_asymptotic_preVFP_v11-v1/NANOAODSIM,5.144e+01 +- 3.608e-01,51.4400,23275543,,0.000,452479.452,2306079677,99.077374,,,,,,,,
,,,,,,,,,,,,,,,,,,
,TTBar production,,,,,,,,,,,,Production,decay of dau1,decay of dau2,permutation,Final xsec,https://twiki.cern.ch/twiki/bin/view/LHCPhysics/TtbarNNLO
