nbin,nData,TotalBkg,QCD,t#bar{t}+x,DY,W+jets/#gamma,VV,Single t,Z#gamma,multi-top,WWss,VVV,Higgs,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,5180,5180.999 ± 2317.544,5055.827 ± 2317.374,4.044 ± 0.412,105.136 ± 28.013,6.628 ± 1.078,5.015 ± 0.322,1.130 ± 0.201,3.070 ± 0.544,0.063 ± 0.015,0.010 ± 0.010,0.052 ± 0.052,0.025 ± 0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.452,0.000,0.000,0.000,0.000,0.000,0.000
3,67298,67298.182 ± 7942.910,59869.663 ± 7941.918,1003.233 ± 6.452,3562.490 ± 123.981,1522.152 ± 16.272,626.038 ± 4.170,266.658 ± 5.025,413.989 ± 6.337,19.911 ± 0.279,5.042 ± 0.219,3.205 ± 0.382,5.801 ± 0.092,625.947,1.446,0.000,0.000,0.000,0.000,0.000,3303.620,1.054,0.050,0.000,0.000,0.000,0.000
4,24602,24602.674 ± 2706.512,11908.635 ± 2705.216,5520.563 ± 15.015,1670.844 ± 78.515,2545.695 ± 21.125,1538.788 ± 7.100,874.662 ± 9.977,252.439 ± 4.963,166.485 ± 0.808,66.032 ± 0.805,30.226 ± 1.190,28.304 ± 0.219,2509.659,30.277,1.419,0.114,0.002,0.001,25.681,10441.875,17.979,0.886,0.131,0.024,0.003,8.165
5,2592,2592.826 ± 52.247,133.551 ± 49.220,1448.552 ± 7.478,48.504 ± 12.585,315.470 ± 7.489,338.708 ± 3.375,135.195 ± 4.703,15.874 ± 1.250,70.365 ± 0.506,52.881 ± 0.727,17.349 ± 0.910,16.378 ± 0.165,568.278,31.825,6.648,0.886,0.034,0.003,24.311,2044.693,21.043,3.148,0.312,0.043,0.001,0.000
6,527,527.320 ± 9.983,15.316 ± 7.706,258.756 ± 3.041,2.882 ± 2.882,74.174 ± 3.645,90.898 ± 1.779,28.106 ± 2.307,3.334 ± 0.572,19.124 ± 0.246,22.956 ± 0.482,6.782 ± 0.569,4.993 ± 0.091,88.219,12.194,6.656,1.531,0.066,0.006,58.720,188.578,8.244,2.571,0.536,0.076,0.004,8.627
7,233,233.030 ± 3.940,3.177 ± 1.164,90.640 ± 1.695,0.000 ± 0.000,37.431 ± 2.583,52.505 ± 1.362,11.432 ± 1.492,0.794 ± 0.282,10.900 ± 0.165,18.630 ± 0.436,5.198 ± 0.490,2.324 ± 0.063,35.165,7.753,7.729,3.895,1.051,0.264,3414.467,79.824,5.322,2.637,1.544,0.230,0.066,1042.973
Total,100435.032,100435.032 ± 8705.681,76986.169 ± 8704.307,8325.788 ± 18.311,5389.856 ± 149.958,4501.549 ± 28.075,2651.951 ± 9.182,1317.183 ± 12.430,689.499 ± 8.189,286.849 ± 1.037,165.550 ± 1.283,62.811 ± 1.720,57.825 ± 0.310,3827.268,83.495,22.453,6.426,1.154,0.273,3523.179,16067.041,53.642,9.292,2.523,0.373,0.074,1059.765
